filename,transcript
61-70968-0000.flac ,HE BEGAN A CONFUSED COMPLAINT AGAINST THE WIZARD WHO HAD VANISHED BEHIND THE CURTAIN ON THE LEFT
61-70968-0001.flac ,GIVE NOT SO EARNEST A MIND TO THESE MUMMERIES CHILD
61-70968-0002.flac ,A GOLDEN FORTUNE AND A HAPPY LIFE
61-70968-0003.flac ,HE WAS LIKE UNTO MY FATHER IN A WAY AND YET WAS NOT MY FATHER
61-70968-0004.flac ,ALSO THERE WAS A STRIPLING PAGE WHO TURNED INTO A MAID
61-70968-0005.flac ,THIS WAS SO SWEET A LADY SIR AND IN SOME MANNER I DO THINK SHE DIED
61-70968-0006.flac ,BUT THEN THE PICTURE WAS GONE AS QUICKLY AS IT CAME
61-70968-0007.flac ,SISTER NELL DO YOU HEAR THESE MARVELS
61-70968-0008.flac ,TAKE YOUR PLACE AND LET US SEE WHAT THE CRYSTAL CAN SHOW TO YOU
61-70968-0009.flac ,LIKE AS NOT YOUNG MASTER THOUGH I AM AN OLD MAN
